title,artist,link
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/99388?highlight=*:*
Queen Anne apron (1700-1799),Unknown,https://collections.ed.ac.uk/art/record/102684?highlight=*:*
Portrait of a Man (1939),Jessie May Stirling,https://collections.ed.ac.uk/art/record/21134?highlight=*:*
Unknown (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50620?highlight=*:*
Portrait of a Woman (1953),A Scott,https://collections.ed.ac.uk/art/record/21198?highlight=*:*
Embroidered panel,Winsome Douglass,https://collections.ed.ac.uk/art/record/113832?highlight=*:*
No. 75,Olivia Grehang,https://collections.ed.ac.uk/art/record/53482?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21569?highlight=*:*
Portrait of a Seated Woman (1960s),Sandra Miller,https://collections.ed.ac.uk/art/record/21278?highlight=*:*
Elderly Man in Military Costume (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20847?highlight=*:*
For Mayte Carrasco (Unknown),Elspeth Lamb,https://collections.ed.ac.uk/art/record/21887?highlight=*:*
Unknown (1957),Lawrence F. Baxter,https://collections.ed.ac.uk/art/record/50617?highlight=*:*
Water Dance (Porthmeor) IV (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54753?highlight=*:*
Composition (1987),Gordon W. Boyd,https://collections.ed.ac.uk/art/record/22564?highlight=*:*
Untitled (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/99496?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/20699?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown,https://collections.ed.ac.uk/art/record/20552?highlight=*:*
Blindfolded Woman at Arch,David C Duke,https://collections.ed.ac.uk/art/record/22551?highlight=*:*
Portrait of a Man in a Cap (1960),Irene Ellis,https://collections.ed.ac.uk/art/record/20982?highlight=*:*
Portrait of a Man (1959),George M. Glen,https://collections.ed.ac.uk/art/record/20973?highlight=*:*
Abstract in Brown and Blue (1988),Allan Lefley,https://collections.ed.ac.uk/art/record/22565?highlight=*:*
Unknown (1946),Sara Gough,https://collections.ed.ac.uk/art/record/50485?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/112504?highlight=*:*
Untitled (Unknown),J Gorman,https://collections.ed.ac.uk/art/record/21881?highlight=*:*
Portrait of a Man (1956),Unknown,https://collections.ed.ac.uk/art/record/21181?highlight=*:*
Ecorche of Houdon,Unknown,https://collections.ed.ac.uk/art/record/20602?highlight=*:*
Tangled Leaves,Susan Alexander,https://collections.ed.ac.uk/art/record/50401?highlight=*:*
Untitled (1963),Madelene R Galloway,https://collections.ed.ac.uk/art/record/99821?highlight=*:*
Sixteen Boxes,John Mooney,https://collections.ed.ac.uk/art/record/21804?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm,https://collections.ed.ac.uk/art/record/21266?highlight=*:*
Interior (Circa 1975),Brian D. Henderson,https://collections.ed.ac.uk/art/record/22623?highlight=*:*
Self Portrait at an Easel (Circa 1961),Ann F Ward,https://collections.ed.ac.uk/art/record/122816?highlight=*:*
"Couplings, Paper bags (2017)",Tessa Lynch,https://collections.ed.ac.uk/art/record/102737?highlight=*:*
Untitled (1966),Helen G. S Forde,https://collections.ed.ac.uk/art/record/99817?highlight=*:*
Studio Interior (Unknown),Hilary A. Fisher,https://collections.ed.ac.uk/art/record/21678?highlight=*:*
Woman Seated (1954),John P Busby,https://collections.ed.ac.uk/art/record/21380?highlight=*:*
Border Wayleave (1990),Hazel Holmes,https://collections.ed.ac.uk/art/record/22523?highlight=*:*
Untitled (1980),Unknown,https://collections.ed.ac.uk/art/record/99823?highlight=*:*
Unknown (1955),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50603?highlight=*:*
Untitled (1967),William G.H. Fulton,https://collections.ed.ac.uk/art/record/99820?highlight=*:*
Standing Nude Woman (1964),William M. McG. Gillon,https://collections.ed.ac.uk/art/record/122755?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50596?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/99860?highlight=*:*
Swedish coffee pot cover,Unknown,https://collections.ed.ac.uk/art/record/102687?highlight=*:*
Untitled (Unknown),Nicholas File,https://collections.ed.ac.uk/art/record/21781?highlight=*:*
Back of Standing Male Nude with Stick (1954),John P Busby,https://collections.ed.ac.uk/art/record/21377?highlight=*:*
Untitled,Douglas Cook,https://collections.ed.ac.uk/art/record/22567?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Unknown,https://collections.ed.ac.uk/art/record/20710?highlight=*:*
Mourner No. 54 from the Tomb of John the fearless (Pre 1895),McArthur,https://collections.ed.ac.uk/art/record/20610?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/111043?highlight=*:*
Unknown,Edith Duke,https://collections.ed.ac.uk/art/record/53536?highlight=*:*
Unknown,Joseph Cavagnari,https://collections.ed.ac.uk/art/record/53525?highlight=*:*
Sedilia from Lincluden Collegiate Church (1912),Walter Miller,https://collections.ed.ac.uk/art/record/20568?highlight=*:*
Reclining Female Nude (JAN 1958),Ffion Williams,https://collections.ed.ac.uk/art/record/20906?highlight=*:*
Fy Experience (2023),Peter Coyle,https://collections.ed.ac.uk/art/record/123695?highlight=*:*
Portrait of a Seated Woman (1958),Alan Alexander,https://collections.ed.ac.uk/art/record/21166?highlight=*:*
A Head (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21561?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson,https://collections.ed.ac.uk/art/record/21445?highlight=*:*
Placa del Sol (1991),Caroline Conway,https://collections.ed.ac.uk/art/record/21839?highlight=*:*
Seated Female Nude (1953),Robert L Thomson,https://collections.ed.ac.uk/art/record/21122?highlight=*:*
Abstract Landscape (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21171?highlight=*:*
Untitled (1965),Julia A M Barnard,https://collections.ed.ac.uk/art/record/99382?highlight=*:*
Self Portrait (1950),William James Laidlaw Baillie,https://collections.ed.ac.uk/art/record/21361?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),Marko Krsmanovic,https://collections.ed.ac.uk/art/record/20714?highlight=*:*
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50541?highlight=*:*
Untitled - Portrait of Red-Haired Woman (1965),Ian Paterson,https://collections.ed.ac.uk/art/record/99410?highlight=*:*
Bridge at Night,H. Livingstone,https://collections.ed.ac.uk/art/record/22535?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50417?highlight=*:*
Standing Male Nude with White Cloth,Janet I. Coventry,https://collections.ed.ac.uk/art/record/22665?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,https://collections.ed.ac.uk/art/record/22671?highlight=*:*
Portrait of a Woman (FEB 1952),Martin G C McKeown,https://collections.ed.ac.uk/art/record/21414?highlight=*:*
Drawn from Nature Exhibition Poster (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21847?highlight=*:*
Untitled (2003),Sarah Jamieson,https://collections.ed.ac.uk/art/record/99925?highlight=*:*
Standing Female Nude,Unknown,https://collections.ed.ac.uk/art/record/22730?highlight=*:*
Still Life with Bowl of Fruit (1964),William M. McG. Gillon,https://collections.ed.ac.uk/art/record/122877?highlight=*:*
Unknown (1966),John Nelson,https://collections.ed.ac.uk/art/record/50497?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,https://collections.ed.ac.uk/art/record/21806?highlight=*:*
Untitled,A Robson,https://collections.ed.ac.uk/art/record/111044?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),Anthony Benjamin,https://collections.ed.ac.uk/art/record/20672?highlight=*:*
Seated Male Nude (17 FEB 1959),Ann F Ward,https://collections.ed.ac.uk/art/record/20937?highlight=*:*
2. (a) Baskerville Serif (1972),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21669?highlight=*:*
Five Figures in Light and Shade (1960),Emma Gillies,https://collections.ed.ac.uk/art/record/123104?highlight=*:*
Food Print (2006),Tomoko Kawanaka,https://collections.ed.ac.uk/art/record/99862?highlight=*:*
Standing Man with Scythe (1950s),John Houston,https://collections.ed.ac.uk/art/record/21046?highlight=*:*
Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,https://collections.ed.ac.uk/art/record/20769?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21947?highlight=*:*
