title,artist,link
Untitled (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/21535?highlight=*:*
Untitled,Peter Pretsell,https://collections.ed.ac.uk/art/record/99795?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50445?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,https://collections.ed.ac.uk/art/record/21097?highlight=*:*
Seated Male Nude,Graham Durward,https://collections.ed.ac.uk/art/record/22568?highlight=*:*
Untitled (2006),Greggory Bradford,https://collections.ed.ac.uk/art/record/99877?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53637?highlight=*:*
Reclining Female Nude on White Iron Bed,Unknown,https://collections.ed.ac.uk/art/record/122802?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50470?highlight=*:*
Espresso Cup (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53699?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21816?highlight=*:*
Standing Male Nude,R Hardie,https://collections.ed.ac.uk/art/record/21038?highlight=*:*
Untitled (1986),Ian McKenzie Smith,https://collections.ed.ac.uk/art/record/21708?highlight=*:*
Tapestry fragment,Unknown,https://collections.ed.ac.uk/art/record/102673?highlight=*:*
Standing Boxer (1964),John Bellany,https://collections.ed.ac.uk/art/record/20778?highlight=*:*
Unknown (1946),William G. Craig,https://collections.ed.ac.uk/art/record/50510?highlight=*:*
The Misadventure (1989),John Brown,https://collections.ed.ac.uk/art/record/21575?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20856?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99921?highlight=*:*
Untitled (1973),Ken McLennan,https://collections.ed.ac.uk/art/record/21844?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21856?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,https://collections.ed.ac.uk/art/record/99427?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21701?highlight=*:*
Unknown (1947),Anne Anderson,https://collections.ed.ac.uk/art/record/50529?highlight=*:*
Composition with Design Scratched in Plaster (1974),Margaret S. Clyde,https://collections.ed.ac.uk/art/record/122912?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99910?highlight=*:*
Unknown (Circa 1890),Unknown,https://collections.ed.ac.uk/art/record/50465?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21917?highlight=*:*
Reclining Nude,Augustus John,https://collections.ed.ac.uk/art/record/122697?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,https://collections.ed.ac.uk/art/record/21613?highlight=*:*
Untitled (2014),Rachel Hill,https://collections.ed.ac.uk/art/record/47450?highlight=*:*
Unknown (31 MAY 1960),Rhona L. Barclay,https://collections.ed.ac.uk/art/record/50618?highlight=*:*
Untitled (1983),Robert Rivers,https://collections.ed.ac.uk/art/record/99802?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,https://collections.ed.ac.uk/art/record/99431?highlight=*:*
Untitled,Dr Ainslie Yule,https://collections.ed.ac.uk/art/record/99532?highlight=*:*
Unknown (1950),John W. Corner,https://collections.ed.ac.uk/art/record/50519?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21556?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21984?highlight=*:*
Grandmother (1962),John Bellany,https://collections.ed.ac.uk/art/record/21532?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20785?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,https://collections.ed.ac.uk/art/record/21362?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50600?highlight=*:*
Memory and Process (2015),Callum Watson,https://collections.ed.ac.uk/art/record/53779?highlight=*:*
Cheeseplant No. 3,Susan Alexander,https://collections.ed.ac.uk/art/record/50402?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50582?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,https://collections.ed.ac.uk/art/record/20831?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,https://collections.ed.ac.uk/art/record/99451?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,https://collections.ed.ac.uk/art/record/21133?highlight=*:*
Sitting Nude Woman (1952),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/122703?highlight=*:*
1st State (Unknown),Euan Gray,https://collections.ed.ac.uk/art/record/21954?highlight=*:*
Still Life with Shadow of Kettle (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22734?highlight=*:*
Frieze from the Temple of Athena Nike (2nd right) (1827),Unknown,https://collections.ed.ac.uk/art/record/20627?highlight=*:*
Replica cast (white) of Parthenon slab GE31,Fionna E. Carlisle,https://collections.ed.ac.uk/art/record/20655?highlight=*:*
Nude and Kettle (1976),George Donald,https://collections.ed.ac.uk/art/record/22558?highlight=*:*
Kneeling Male Nude (1965-1966),John B Vallely,https://collections.ed.ac.uk/art/record/21174?highlight=*:*
The Sons of Usnach at Chess (1964),Kathleen Russell,https://collections.ed.ac.uk/art/record/21006?highlight=*:*
The Candy Floss Vender,Unknown,https://collections.ed.ac.uk/art/record/122769?highlight=*:*
Circus,Margaret A Leake,https://collections.ed.ac.uk/art/record/21012?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20620?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/99389?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21264?highlight=*:*
Untitled (1986),R. Euman,https://collections.ed.ac.uk/art/record/21629?highlight=*:*
Diddly Doodly (2006),John Brown,https://collections.ed.ac.uk/art/record/99953?highlight=*:*
Untitled (1971),Ian Haycox,https://collections.ed.ac.uk/art/record/21836?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,https://collections.ed.ac.uk/art/record/21436?highlight=*:*
Rainman/Air Boys (2003),John Schulz,https://collections.ed.ac.uk/art/record/99931?highlight=*:*
Nabucco (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,https://collections.ed.ac.uk/art/record/21845?highlight=*:*
Don Juan (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22038?highlight=*:*
Drawing of a Seated Woman (1958),Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20787?highlight=*:*
Castor and Pollux (1835),Sarti,https://collections.ed.ac.uk/art/record/20593?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,https://collections.ed.ac.uk/art/record/22552?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,https://collections.ed.ac.uk/art/record/22563?highlight=*:*
Self-Portrait (Unknown),Justine Blair,https://collections.ed.ac.uk/art/record/21727?highlight=*:*
Untitled (1972),Ian Gengt (possibly),https://collections.ed.ac.uk/art/record/21840?highlight=*:*
Sgraffito Wares I (Circa 1994),Lisa Ward,https://collections.ed.ac.uk/art/record/122792?highlight=*:*
Begining (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21926?highlight=*:*
Untitled (1966),Gillian Mather,https://collections.ed.ac.uk/art/record/22002?highlight=*:*
Nude Sleeping,Raymon Pattie,https://collections.ed.ac.uk/art/record/22529?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21994?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,https://collections.ed.ac.uk/art/record/20977?highlight=*:*
Untitled (1968),Anne Lynch,https://collections.ed.ac.uk/art/record/22492?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),Helen Cargill,https://collections.ed.ac.uk/art/record/20719?highlight=*:*
Of Carole Danielson (1964),Emma Gillies,https://collections.ed.ac.uk/art/record/53585?highlight=*:*
Saucer,Shirley Brown,https://collections.ed.ac.uk/art/record/53626?highlight=*:*
Orange (1985),Unknown,https://collections.ed.ac.uk/art/record/21589?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,https://collections.ed.ac.uk/art/record/99258?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,https://collections.ed.ac.uk/art/record/111039?highlight=*:*
Untitled (1983),Robert Rivers,https://collections.ed.ac.uk/art/record/99804?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,https://collections.ed.ac.uk/art/record/21127?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53686?highlight=*:*
Harbour at Night,Derek McGuire,https://collections.ed.ac.uk/art/record/21511?highlight=*:*
Untitled (2006),Daisy Richardson,https://collections.ed.ac.uk/art/record/99866?highlight=*:*
Fancy Pipe (2006),Michael Hecht,https://collections.ed.ac.uk/art/record/99882?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53511?highlight=*:*
Jockeys,Alexander S Campbell,https://collections.ed.ac.uk/art/record/122845?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,https://collections.ed.ac.uk/art/record/20944?highlight=*:*
Untitled (1968),Sheila Wardrope,https://collections.ed.ac.uk/art/record/22495?highlight=*:*
Abstract,V. Constant,https://collections.ed.ac.uk/art/record/111445?highlight=*:*
Landscape (1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/21010?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),Paresh C. Chakraborty,https://collections.ed.ac.uk/art/record/20628?highlight=*:*
Untitled (1962),Unknown,https://collections.ed.ac.uk/art/record/112307?highlight=*:*
Chinese sleeveband. waves,Becky Campbell,https://collections.ed.ac.uk/art/record/102703?highlight=*:*
My Boots Are Wet from the grass (2006),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/99962?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/22713?highlight=*:*
Standing Female Nude (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21329?highlight=*:*
Reclining Nude - Female (1953),Mary C. A. Edmond,https://collections.ed.ac.uk/art/record/22722?highlight=*:*
Railway Track (2002),Manson Heather,https://collections.ed.ac.uk/art/record/112495?highlight=*:*
Unknown (1982),Donald Urquhart,https://collections.ed.ac.uk/art/record/99516?highlight=*:*
Summer Fayre,Unknown,https://collections.ed.ac.uk/art/record/22658?highlight=*:*
Unknown,J Brown,https://collections.ed.ac.uk/art/record/53568?highlight=*:*
Untitled - Old Woman (1965-1966),Norman Orr,https://collections.ed.ac.uk/art/record/99406?highlight=*:*
Emerging (1987),Paul Furneaux,https://collections.ed.ac.uk/art/record/111442?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,https://collections.ed.ac.uk/art/record/21140?highlight=*:*
Untitled (1962),Cant,https://collections.ed.ac.uk/art/record/21763?highlight=*:*
Flight Path No 1 (1977),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/19635?highlight=*:*
Untitled (2002),Grace Paul,https://collections.ed.ac.uk/art/record/99934?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21407?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/record/99364?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,https://collections.ed.ac.uk/art/record/100011?highlight=*:*
A Red Made For R.M Rilke (2006),Catlin Dalton,https://collections.ed.ac.uk/art/record/99884?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53612?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99447?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/21404?highlight=*:*
Silhouetted Head,Leslie C. McConnell,https://collections.ed.ac.uk/art/record/122920?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20876?highlight=*:*
Kitchen Interior,Ruth Walker,https://collections.ed.ac.uk/art/record/122896?highlight=*:*
Cape May (1983),G.M. L.,https://collections.ed.ac.uk/art/record/21975?highlight=*:*
Self Portrait in White Apron,Unknown,https://collections.ed.ac.uk/art/record/22600?highlight=*:*
Idolino,Unknown,https://collections.ed.ac.uk/art/record/20576?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20617?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50433?highlight=*:*
Offstage (1957),Alexander S Campbell,https://collections.ed.ac.uk/art/record/123105?highlight=*:*
Untitled (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99521?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21616?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21931?highlight=*:*
Seated Figure in Striped Top (Circa 1981),Alastair R. W. Hearsum,https://collections.ed.ac.uk/art/record/22527?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,https://collections.ed.ac.uk/art/record/21194?highlight=*:*
Scissors,Jayne Stokes,https://collections.ed.ac.uk/art/record/22615?highlight=*:*
Standing Male Nude (1952),David Michie,https://collections.ed.ac.uk/art/record/21386?highlight=*:*
Nude Female in Studio (1967),Sylvia M. R. Cameron,https://collections.ed.ac.uk/art/record/122909?highlight=*:*
Unknown (1964),Eleanor Maiden,https://collections.ed.ac.uk/art/record/53584?highlight=*:*
Untitled (1987),Susan Veitch,https://collections.ed.ac.uk/art/record/21898?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,https://collections.ed.ac.uk/art/record/53782?highlight=*:*
Spring Board (Circa 1971),Alan Brown,https://collections.ed.ac.uk/art/record/22584?highlight=*:*
Multicoloured Geometric (1971),Jim Hickey,https://collections.ed.ac.uk/art/record/22602?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21033?highlight=*:*
Untitled (Unknown),Paul Gladston,https://collections.ed.ac.uk/art/record/21729?highlight=*:*
Untitled (1960),Robert L Snowden,https://collections.ed.ac.uk/art/record/21542?highlight=*:*
Still Life with Guitar (1962),John Picking,https://collections.ed.ac.uk/art/record/22702?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21423?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20886?highlight=*:*
Portrait of a Man Seated (1959),C Byron,https://collections.ed.ac.uk/art/record/20914?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53510?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,https://collections.ed.ac.uk/art/record/99371?highlight=*:*
Siena (1956),John P Busby,https://collections.ed.ac.uk/art/record/21379?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,https://collections.ed.ac.uk/art/record/21086?highlight=*:*
Nude Woman Standing (1961),Rose A. K. Forsyth,https://collections.ed.ac.uk/art/record/122826?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21055?highlight=*:*
Portrait with a Beret (1986),Charles P. Stiven,https://collections.ed.ac.uk/art/record/21437?highlight=*:*
Man and Basket (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21030?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21555?highlight=*:*
Aix: Moroccan Women (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21031?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,https://collections.ed.ac.uk/art/record/20749?highlight=*:*
Two Men in an Interior (1989),Sean H. Watson,https://collections.ed.ac.uk/art/record/22646?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,https://collections.ed.ac.uk/art/record/21287?highlight=*:*
Still Life with Net and Burning Candle (Circa 1987),Donald Clark,https://collections.ed.ac.uk/art/record/22528?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,https://collections.ed.ac.uk/art/record/99430?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
Horse (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53750?highlight=*:*
Self Portrait (1975),Ruth S. Stiven,https://collections.ed.ac.uk/art/record/122889?highlight=*:*
Giraffe (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53749?highlight=*:*
Standing Female Nude (1959),R G Browne,https://collections.ed.ac.uk/art/record/20953?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/21007?highlight=*:*
Unknown (1968),Kenneth R Duffy,https://collections.ed.ac.uk/art/record/99515?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,https://collections.ed.ac.uk/art/record/20574?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99520?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22023?highlight=*:*
Nikola Subić Zrinjski (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22033?highlight=*:*
Unknown (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/123511?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53628?highlight=*:*
Traviata (Unknown),Boris Bućan,https://collections.ed.ac.uk/art/record/22470?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122541?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20868?highlight=*:*
Young Boy (1963),Roger Cameron,https://collections.ed.ac.uk/art/record/21265?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,https://collections.ed.ac.uk/art/record/21064?highlight=*:*
Nugget (2013),Charlotte Roseberry,https://collections.ed.ac.uk/art/record/21301?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21785?highlight=*:*
Untitled (MAR 1962),Irene Thomson,https://collections.ed.ac.uk/art/record/22015?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),Jacquetta Burn-Callander,https://collections.ed.ac.uk/art/record/20679?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),Alison Duncan,https://collections.ed.ac.uk/art/record/20667?highlight=*:*
Unknown (1950),Lesley A. Crave,https://collections.ed.ac.uk/art/record/50573?highlight=*:*
Part Figure/Part Landscape Composition (Circa 1970),Helen Grant,https://collections.ed.ac.uk/art/record/123114?highlight=*:*
Unknown (1957),Peter Crorkin,https://collections.ed.ac.uk/art/record/50508?highlight=*:*
Portrait Sitting Nude Male (1961),Vivien Alexander,https://collections.ed.ac.uk/art/record/122852?highlight=*:*
Untitled,Elaine Speirs,https://collections.ed.ac.uk/art/record/122771?highlight=*:*
Untitled (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21896?highlight=*:*
Bathers (Circa 1959),Robert M E Callender,https://collections.ed.ac.uk/art/record/122835?highlight=*:*
Portrait of Man in a Hat (1951),Adam Hogg,https://collections.ed.ac.uk/art/record/21239?highlight=*:*
A Puppet of Power (Circa 1956),Peter G. Collins,https://collections.ed.ac.uk/art/record/22576?highlight=*:*
The Bakery,Mollie E N Langlands,https://collections.ed.ac.uk/art/record/122688?highlight=*:*
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21168?highlight=*:*
Swirlings (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21972?highlight=*:*
Woman with Cigarettes (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/122718?highlight=*:*
Man and Woman in Brown (Circa 1975),Robin Paine,https://collections.ed.ac.uk/art/record/22585?highlight=*:*
Unknown (1965),William S. T. Brodie,https://collections.ed.ac.uk/art/record/53597?highlight=*:*
Two Women with Sail Boats,Unknown,https://collections.ed.ac.uk/art/record/122757?highlight=*:*
Reclining Male Nude (1958),Ian Hodkinson,https://collections.ed.ac.uk/art/record/20880?highlight=*:*
Reclining Male Nude (FEB 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
Memories (1983),Stuart T. MacKenzie,https://collections.ed.ac.uk/art/record/22629?highlight=*:*
Sugar Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53676?highlight=*:*
Seascape (1978),Michael Kinane,https://collections.ed.ac.uk/art/record/21492?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black,https://collections.ed.ac.uk/art/record/99467?highlight=*:*
Unknown (1950),Muriel Davidson,https://collections.ed.ac.uk/art/record/53476?highlight=*:*
"""Mr Smith can't remove himself because he doesn't want to""",Ronald D. Forbes,https://collections.ed.ac.uk/art/record/22583?highlight=*:*
Untitled (Unknown),Ruth Beale,https://collections.ed.ac.uk/art/record/21942?highlight=*:*
Untitled (1997),Sera K,https://collections.ed.ac.uk/art/record/21779?highlight=*:*
Untitled (JAN 1997),Sharon Cornwill,https://collections.ed.ac.uk/art/record/21920?highlight=*:*
The Jungle (1990),John Brown,https://collections.ed.ac.uk/art/record/99469?highlight=*:*
Seated Male Nude (1953),Roy McCallum,https://collections.ed.ac.uk/art/record/20897?highlight=*:*
Untitled (1990s),Duncan N. Ganley,https://collections.ed.ac.uk/art/record/21854?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,https://collections.ed.ac.uk/art/record/22589?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21586?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53659?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50430?highlight=*:*
Man in Black (possibly),Claudia Petretti,https://collections.ed.ac.uk/art/record/21482?highlight=*:*
Portrait of a Middle Aged Woman (1949),Leszek Muszynski,https://collections.ed.ac.uk/art/record/22515?highlight=*:*
Unknown (1957),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
Still Life Jugs (1957),Beatrice Patricia Grimshaw,https://collections.ed.ac.uk/art/record/122878?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20923?highlight=*:*
Harbour (Circa 1965),James B. Thomson,https://collections.ed.ac.uk/art/record/22619?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany,https://collections.ed.ac.uk/art/record/20767?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99475?highlight=*:*
Putti with Candelabrum (right group),Unknown,https://collections.ed.ac.uk/art/record/20538?highlight=*:*
Portrait of a Man in a Suit (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20784?highlight=*:*
Twist (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21849?highlight=*:*
Seated Male Nude (25 JAN 1954),Catherine M Gibson,https://collections.ed.ac.uk/art/record/21229?highlight=*:*
Male Portrait (1961),Paresh C. Chakraborty,https://collections.ed.ac.uk/art/record/123106?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/21368?highlight=*:*
Self Portrait - Male,Alexander Cree,https://collections.ed.ac.uk/art/record/22697?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53621?highlight=*:*
Seated Female Nude (1957),Isobel Howieson,https://collections.ed.ac.uk/art/record/20962?highlight=*:*
Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*
Pair of sleeves,Unknown,https://collections.ed.ac.uk/art/record/102676?highlight=*:*
Summer Rain (1984),Tom Pow,https://collections.ed.ac.uk/art/record/122727?highlight=*:*
Flowers Behind the Door (1953),Bernard Reder,https://collections.ed.ac.uk/art/record/21658?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,https://collections.ed.ac.uk/art/record/21132?highlight=*:*
Garden of Eden (1987),Unknown,https://collections.ed.ac.uk/art/record/21608?highlight=*:*
Lucca (1949),J. C. Grant Duncan,https://collections.ed.ac.uk/art/record/21367?highlight=*:*
Untitled (2007),Matt Carter,https://collections.ed.ac.uk/art/record/99975?highlight=*:*
Unknown (1968),Gillian Mather,https://collections.ed.ac.uk/art/record/53589?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,https://collections.ed.ac.uk/art/record/21351?highlight=*:*
Reclining Nude (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21177?highlight=*:*
Portrait of a Seated Woman (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/21286?highlight=*:*
Standing Nude Woman (1955),Edith C. Duke,https://collections.ed.ac.uk/art/record/122832?highlight=*:*
Italian Cityscape (1953-1954),Trevor Stubley,https://collections.ed.ac.uk/art/record/20798?highlight=*:*
Portrait of a Man (Circa 1951),Helmut F G Petzsch,https://collections.ed.ac.uk/art/record/21391?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",Sybil Erskine,https://collections.ed.ac.uk/art/record/20645?highlight=*:*
Reclining Male Nude (06 NOV 1967),John W. Corner,https://collections.ed.ac.uk/art/record/21111?highlight=*:*
"Commercial Street, Leith (1950)",John G. Mitchell,https://collections.ed.ac.uk/art/record/21828?highlight=*:*
Abstract Butterfly (1961),Zillah Green,https://collections.ed.ac.uk/art/record/122911?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,https://collections.ed.ac.uk/art/record/99483?highlight=*:*
Untitled (Unknown),J.,https://collections.ed.ac.uk/art/record/21953?highlight=*:*
Chinese spectacle case,Unknown,https://collections.ed.ac.uk/art/record/102704?highlight=*:*
Untitled,Susan Pettinger,https://collections.ed.ac.uk/art/record/112500?highlight=*:*
Untitled (1961),Dr Ainslie Yule,https://collections.ed.ac.uk/art/record/99531?highlight=*:*
Architectural Interior (1980s),Kathleen A. Binns,https://collections.ed.ac.uk/art/record/21430?highlight=*:*
Untitled (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21767?highlight=*:*
Untitled (2002),Kirsty MacDonald,https://collections.ed.ac.uk/art/record/99949?highlight=*:*
Untitled (Unknown),Anna Chapman,https://collections.ed.ac.uk/art/record/21603?highlight=*:*
Portrait of a Woman (1959),V Thomson,https://collections.ed.ac.uk/art/record/20961?highlight=*:*
Untitled (1965),Hugh Tuckerman,https://collections.ed.ac.uk/art/record/22025?highlight=*:*
Unknown (1949),Mary D Thomson,https://collections.ed.ac.uk/art/record/50452?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),Gordon Bryce,https://collections.ed.ac.uk/art/record/20690?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),J Shore,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Buildings,Emma Gillies,https://collections.ed.ac.uk/art/record/21494?highlight=*:*
Espresso Cup (1920s),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/53694?highlight=*:*
Portrait of a Woman (1959),Susie Wilson,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),Unknown,https://collections.ed.ac.uk/art/record/20671?highlight=*:*
